case_id,ESR-mediated signaling (Reactome R-HSA-8939211),Nuclear Receptor transcription pathway (Reactome R-HSA-383280),Signaling by ERBB2 (Reactome R-HSA-1227986),Signaling by EGFR (Reactome R-HSA-177929),PIP3 activates AKT signaling (Reactome R-HSA-1257604),G2/M Transition (Reactome R-HSA-69275),Mitotic Spindle Checkpoint (Reactome R-HSA-69618),p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),DNA Double-Strand Break Repair (Reactome R-HSA-5693532),Adherens junctions interactions (Reactome R-HSA-418990),Tight junction interactions (Reactome R-HSA-420029),Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),Degradation of the extracellular matrix (Reactome R-HSA-1474228),Integrin cell surface interactions (Reactome R-HSA-216083),Collagen formation (Reactome R-HSA-1474290),TCR signaling (Reactome R-HSA-202403),Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),Interferon gamma signaling (Reactome R-HSA-877300),Co-inhibition by PD-1 (Reactome R-HSA-389948),Cellular response to hypoxia (Reactome R-HSA-1234174),RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),Signaling by BMP (Reactome R-HSA-201451)
TCGA-3C-AAAU,84.26184152887132,58.64692693327896,64.16430847824111,26.789410901032568,27.714689945040618,17.48891852568832,-32.500483326020316,8.268232196358895,14.970467066070086,91.178035845729,20.056505413755957,7.648592863539989,-26.160572968009873,38.355172408443195,97.07195716663338,-85.76687809343233,-76.04997020229736,-15.445527488506002,-73.34585746455168,20.890615203478262,-21.54511392595765,-33.41641348711755
TCGA-3C-AALI,71.92610383754928,28.68833295267973,56.11475600703025,30.55518779308815,12.980235155038486,21.77666414093264,-28.088352009226327,-18.489804712137314,-13.58826851215916,86.12179126893153,25.755566003132685,12.067008206639997,5.692061752900315,24.22759555407572,96.85745120516711,-55.345836528991896,-73.82679548241934,38.3416479130307,-50.53787830432087,31.813596570667556,-19.6064745463147,-33.720917581519714
TCGA-3C-AALJ,69.12073735352493,32.654545757798815,47.12944751090953,30.027606902008955,7.69356498224991,23.42190962498006,-31.23027142252134,6.566874456213526,-12.967796044262684,94.83057849568718,2.6352503096885584,15.636246150601607,32.00653127610869,13.395538209476484,102.18484956853061,-44.8276110524144,-80.06236693768949,29.24870734107742,-44.00061241487283,24.30441245510599,-14.825169075516058,-44.396177596478594
TCGA-3C-AALK,71.67880093209735,44.171789102227336,56.518994857928874,21.912327650953642,22.851371533915966,-30.327305555984054,-60.620580243714514,13.199787097939378,-12.870921515016335,94.73040876380443,25.028281492090485,23.96203139038232,2.3493792698270966,49.60280085596017,102.99543208089966,-73.97063598808867,-76.84413577279582,14.173065589064038,-67.28273566671997,19.631116462473187,-30.222274378106277,-21.683539474212296
TCGA-4H-AAAK,80.35933125961341,58.72497103857998,50.37361558332168,20.967186965560728,37.62650849667676,-33.36076503410352,-64.50233364889982,-5.5845774493811575,-3.6505675371046493,81.6808703341475,18.7090928421662,39.00461247480223,11.49944093424159,30.620852136235726,101.2179053895899,-75.01341886298263,-79.68203977670373,9.273022875294657,-72.93871624731266,30.76870792344394,-31.14339727336838,-16.82585859612776
TCGA-5L-AAT0,73.19133263240562,42.374192106125236,49.67824733743896,16.665871914585892,25.935410494875924,-65.46895181215426,-87.79342168647796,-1.2999049572045465,-8.7111094789324,93.44082221101934,13.77018622277842,34.54365512476869,25.890760908005888,34.915267118304286,98.09626803355084,-55.60250760627221,-67.91239900064578,34.558093988707014,-56.15691034648745,27.332892079728396,-21.863549758400822,-5.356430534558228
TCGA-5L-AAT1,67.8915545021365,30.705069421176375,48.66967499354723,19.311479840620905,25.668228602055137,-68.68319570547719,-92.59306824915822,14.631401088171941,-16.45217046990561,87.31760062325046,4.031541165150031,23.88061715089688,22.37631942696197,16.826773153716374,92.89620977883487,-31.523582587241336,-52.12085347125432,59.08708035623394,-34.17637996107571,45.8479093069173,-14.87005424426242,-22.303029873656726
TCGA-5T-A9QA,82.00940999990075,39.64517047650983,55.27671640866001,35.7630876601653,0.2719509066990611,36.50916842443408,-10.099744600673432,18.174237112213262,17.81376354289233,97.43422268627134,57.416944544917556,22.95697516195864,-36.56292277145016,4.481513806373442,64.08506778878575,-87.93153340217447,-79.75122392088664,-3.9542469282509103,-70.7953684676909,37.33363768386454,8.953858670539631,-33.94842241738638
TCGA-A1-A0SB,67.96691744233402,48.111527988811474,51.35178744562796,40.51630411493207,33.298464910045055,-34.158774428083845,-58.63969722048469,5.970638860396463,16.8029053201021,104.61933439528727,26.687658498293047,25.9189357814611,-39.44553691428948,44.79607217962479,98.99571033324548,-82.90491330025345,-77.32103846490874,-3.3580193894679837,-80.11080834565271,22.340818988458977,-32.94962682076866,18.95697476867528
TCGA-A1-A0SD,87.05789360300946,53.497999022984374,45.227993329957656,19.718079013187833,26.481956016695676,-37.980495241700766,-74.50467358926379,-9.021160534949189,-8.943407910379193,96.24443161271921,28.48077373215017,20.84661864500663,8.108608940890036,55.73114129562609,94.3406787993681,-85.20951678214784,-79.56055515503681,19.282734093314474,-76.35968804761872,28.29133363768088,-36.66036899158915,-16.502738759187565
TCGA-A1-A0SE,82.9493270435969,60.75664862402951,54.201477005047366,24.063601075664508,31.04338119895479,-12.48129056547117,-43.72150926961281,-6.327408488445002,6.471525495795561,95.39612776557271,19.516690980033133,23.101531249483003,-6.14241168165799,40.496267043315555,100.8849797349788,-87.73197678596495,-92.64835259648282,1.4160648010136185,-78.92598876919182,20.249851952963184,-27.258550532860113,-7.069586340515713
TCGA-A1-A0SF,79.87139122769878,56.83814677104721,56.06768654174965,20.175146663291684,36.44224266875773,-30.802681343887784,-62.31139166917794,-6.118692919394164,-4.219662328116925,103.0306761536921,21.945985585288923,16.58813555032083,-11.40271056216946,37.28866277751206,87.17359242110152,-55.191278280791565,-79.18419083401888,32.08248325161969,-57.95984137209577,39.56876496758511,-26.827483709173805,-30.10098694123205
