,组织学类型标签（histological_type_label）,是否导管成分（ductal_binary）,是否小叶成分（lobular_binary）,DCIS导管原位癌（dcis_binary）,LCIS小叶原位癌（lcis_binary）,组织学分级标签（histologic_grade_label）,淋巴血管侵犯标签（lymphovascular_invasion_label）,坏死二值（necrosis_binary）,粉刺样坏死二值（comedonecrosis_binary）,微钙化二值（microcalcification_binary）,Nottingham总分（nottingham_total_score）,有丝分裂评分（mitotic_score）,ER状态标签（ER_status_label）,PR状态标签（PR_status_label）,HER2状态标签（HER2_status_label）,AJCC病理分期（ajcc_pathologic_stage）,OS结局（OS）
ESR-mediated signaling (Reactome R-HSA-8939211),0.055055276,0.05079343,0.037740704,0.07768709,0.043523278,0.534239,0.056847133,0.68724185,0.051500168,0.050429497,0.07030969,0.54655683,0.6290512,0.6168711,0.085490614,0.07967045,0.07116719
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),0.048312873,0.051530685,0.03080739,0.07523241,0.0354736,0.07632315,0.05445811,0.68348265,0.05833846,0.051911082,0.06821147,0.52725935,0.61886203,0.59530705,0.5726139,0.53683865,0.0753351
Signaling by ERBB2 (Reactome R-HSA-1227986),0.0413981,0.06280108,0.017946502,0.072017804,0.03810233,0.058316804,0.03280023,0.067283526,0.07238698,0.052280854,0.06302715,0.07054499,0.61699253,0.63469625,0.077563405,0.06554083,0.06710413
Signaling by EGFR (Reactome R-HSA-177929),0.06051537,0.080037534,0.031673238,0.06818709,0.058889136,0.06669541,0.07450506,0.03449976,0.07547605,0.03131564,0.076212935,0.063901685,0.060585473,0.077561125,0.050163224,0.06287154,0.083617985
PIP3 activates AKT signaling (Reactome R-HSA-1257604),0.05348284,0.06654216,0.06337662,0.06786584,0.06863878,0.07163876,0.05851638,0.5876124,0.06888435,0.06533109,0.06702711,0.06694601,0.54835474,0.072662115,0.573624,0.53806496,0.08045713
G2/M Transition (Reactome R-HSA-69275),0.7007459,0.5763943,0.6968608,0.6370537,0.564009,0.64023757,0.07898254,0.06357149,0.03940379,0.07873086,0.59544957,0.57753634,0.069307804,0.52475476,0.070005305,0.07773813,0.04173356
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),0.6968236,0.5744978,0.6950902,0.6295966,0.5696072,0.63746524,0.07937476,0.06238424,0.039242454,0.5300731,0.5848789,0.57314813,0.06838584,0.077942014,0.06902585,0.0780098,0.04339791
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),0.029222881,0.072689526,0.024218947,0.5964616,0.061358597,0.050667014,0.032237146,0.04314532,0.07378162,0.06746628,0.053624272,0.07040475,0.07146141,0.63351595,0.07050559,0.05330112,0.6423662
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),0.6918042,0.5264456,0.0756122,0.57432306,0.076194435,0.07311283,0.064665586,0.070347406,0.036856227,0.04626302,0.07132973,0.07839854,0.07064574,0.075667724,0.045122996,0.068459965,0.053166974
Adherens junctions interactions (Reactome R-HSA-418990),0.67012966,0.55510426,0.077185735,0.5603713,0.07500399,0.04747432,0.073009595,0.08784049,0.072443105,0.07474402,0.05955314,0.057950027,0.057851925,0.059910573,0.050496757,0.07487541,0.069728896
