epoch,stage,relation_round,relation_scale,relation_active_edges,relation_selected_prior_edges,relation_selected_new_edges,relation_eligible_new_edges,relation_attenuated_prior_edges,relation_mean_abs_change,train_loss,val_loss,lambda_gene,lambda_program,lambda_phenotype,molecular_weight,morphology_weight,clinical_weight,val_binary_auc,val_multiclass_acc,val_os_mean_auc,val_c_index,val_gene_pearson,val_program_mae,val_phenotype_score,gene_retention_floor,gene_protected
1,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.41117018461227417,1.3944735615341752,1.0,0.0,0.0,0.0,0.0,0.0,0.49054370558039545,0.39253428191289985,0.5911037578300165,0.49385113268608416,0.2509788033742525,0.7899332185497577,0.44457166082993427,,1
2,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3820991516113281,1.3950746180098734,1.0,0.0,0.0,0.0,0.0,0.0,0.47700617286163666,0.41348017463761366,0.5592433921595821,0.4854368932038835,0.30227009379311476,0.7871064814152934,0.44821224552526834,,1
3,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3717944025993347,1.4061903297165295,1.0,0.0,0.0,0.0,0.0,0.0,0.4882614354209455,0.40434721756289876,0.5531852420081825,0.4912621359223301,0.32631739380541447,0.7850051418252945,0.4476553087071111,,1
4,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3658117651939392,1.4130214655840838,1.0,0.0,0.0,0.0,0.0,0.0,0.48240429047434624,0.39652559318452496,0.5426623933846474,0.46537216828478967,0.34603744786722984,0.7856832315414014,0.44048369208034094,,1
5,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.35830482840538025,1.4170237965053982,1.0,0.0,0.0,0.0,0.0,0.0,0.4803108754066408,0.38037329930066993,0.5398016203222153,0.5067961165048543,0.35647366944135955,0.7863172964108653,0.4309022024632195,,1
6,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3547808527946472,1.4217535401568,1.0,0.0,0.0,0.0,0.0,0.0,0.4699819887012656,0.35651649465046104,0.536008685250676,0.5339805825242718,0.3543695516232848,0.7886007309949687,0.41379594458904034,,1
7,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.35146215558052063,1.4232296964268625,1.0,0.0,0.0,0.0,0.0,0.0,0.47881510312607795,0.35025158358189534,0.560946276263782,0.4964401294498382,0.3536090892441335,0.7856509429461055,0.4155833088460815,,1
8,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3484489917755127,1.4240010446972318,1.0,0.0,0.0,0.0,0.0,0.0,0.4731564198374083,0.3845854943179194,0.5740543304902572,0.5339805825242718,0.3724787811571382,0.7869362329273834,0.4322011010713759,,1
9,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3458317816257477,1.4296127684322404,1.0,0.0,0.0,0.0,0.0,0.0,0.47410527155215926,0.37338741272601894,0.5573425906663894,0.5385113268608415,0.3719848674516941,0.7890746350899651,0.42568036506268675,,1
10,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.34331947565078735,1.4315669710253491,1.0,0.0,0.0,0.0,0.0,0.0,0.47194732346797136,0.38857544954653034,0.578018456880013,0.570873786407767,0.37802280438825286,0.7855608050281723,0.4340487510043874,,1
11,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3355628252029419,1.4022095306420033,0.5,0.4,0.0,0.0,0.0,0.0,0.4947908657162241,0.395830140162021,0.5359750970806463,0.5398058252427185,0.3670464685153172,0.7059943860029727,0.44482249520896494,0.35970553914501086,1
12,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.32052767276763916,1.4005343875767273,0.5,0.4,0.0,0.0,0.0,0.0,0.49202103513970563,0.39757564312023114,0.5164365335274946,0.5365695792880258,0.37215958623669293,0.7005334453972283,0.44345673926985385,0.3647163945119591,1
13,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3151416778564453,1.3996053639753365,0.5,0.4,0.0,0.0,0.0,0.0,0.48585264449730126,0.3668464840336642,0.545822570672399,0.5644012944983818,0.3779292648761373,0.7038306263836616,0.42637702579155806,0.3703706795786146,1
14,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.31350594758987427,1.3951154293837371,0.5,0.4,0.0,0.0,0.0,0.0,0.4859483906239408,0.3940273969681859,0.5534373338649654,0.5883495145631068,0.3749481428884845,0.6854678993372432,0.4412542729968368,0.3703706795786146,1
15,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.31034940481185913,1.3966219189726277,0.5,0.4,0.0,0.0,0.0,0.0,0.49021475608535464,0.3827703385059519,0.5902828340614382,0.5715210355987055,0.3806208486998192,0.688038511294179,0.43921877489485217,0.3730084317258228,1
16,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.30811768770217896,1.3863941707728822,0.5,0.4,0.0,0.0,0.0,0.0,0.4884549156110913,0.39929507868174513,0.5568705504703788,0.5728155339805825,0.3807999451140614,0.6852297231630635,0.4452770981108073,0.37318394621178014,1
17,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.30671945214271545,1.3895026189309578,0.5,0.4,0.0,0.0,0.0,0.0,0.4929323595981848,0.3925999180647297,0.5476431939532626,0.5715210355987055,0.3789076334750996,0.6835622090387301,0.4430334690425366,0.37318394621178014,1
