task_name,task_type,num_train,num_val,num_test,metric_name,metric_value,missing_rate
组织学类型标签（histological_type_label）,multiclass,1894,405,406,ACC,0.8493827160493828,
是否导管成分（ductal_binary）,binary,1894,405,406,AUC,0.8297571630476679,
是否小叶成分（lobular_binary）,binary,1894,405,406,AUC,0.7668285912560722,
DCIS导管原位癌（dcis_binary）,binary,1894,405,406,AUC,0.6581196581196581,
LCIS小叶原位癌（lcis_binary）,binary,1894,405,406,AUC,0.794178500893445,
组织学分级标签（histologic_grade_label）,multiclass,1894,405,406,ACC,0.6366559485530546,
淋巴血管侵犯标签（lymphovascular_invasion_label）,multiclass,1894,405,406,ACC,0.6065573770491803,
坏死二值（necrosis_binary）,binary,1894,405,406,AUC,0.6269032258064516,
粉刺样坏死二值（comedonecrosis_binary）,binary,1894,405,406,AUC,0.6083088774761555,
微钙化二值（microcalcification_binary）,binary,1894,405,406,AUC,0.6222376032036387,
Nottingham总分（nottingham_total_score）,multiclass,1894,405,406,ACC,0.6265060240963856,
有丝分裂评分（mitotic_score）,multiclass,1894,405,406,ACC,0.5432098765432098,
ER状态标签（ER_status_label）,multiclass,1894,405,406,ACC,0.841025641025641,
PR状态标签（PR_status_label）,multiclass,1894,405,406,ACC,0.7774647887323943,
HER2状态标签（HER2_status_label）,multiclass,1894,405,406,ACC,0.5470383275261324,
AJCC病理分期（ajcc_pathologic_stage）,multiclass,1894,405,406,ACC,0.3198992443324937,
OS结局（OS）::0-1y,discrete_survival,1894,405,406,AUC,0.6256038647342995,
OS结局（OS）::1-3y,discrete_survival,1894,405,406,AUC,0.5568181818181819,
OS结局（OS）::3-5y,discrete_survival,1894,405,406,AUC,0.631578947368421,
OS结局（OS）::5-10y,discrete_survival,1894,405,406,AUC,0.5833333333333334,
OS结局（OS）::mean,discrete_survival,1894,405,406,AUC,0.5993335818135589,
OS结局（OS）::c_index,discrete_survival,1894,405,406,C-index,0.6427184466019418,
ESR-mediated signaling (Reactome R-HSA-8939211),gene_program_regression,1894,405,406,MAE,0.5550284743378008,
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),gene_program_regression,1894,405,406,MAE,0.6031051668832883,
Signaling by ERBB2 (Reactome R-HSA-1227986),gene_program_regression,1894,405,406,MAE,0.6781956231149695,
Signaling by EGFR (Reactome R-HSA-177929),gene_program_regression,1894,405,406,MAE,0.7428610903440894,
PIP3 activates AKT signaling (Reactome R-HSA-1257604),gene_program_regression,1894,405,406,MAE,0.7093165459502259,
G2/M Transition (Reactome R-HSA-69275),gene_program_regression,1894,405,406,MAE,0.6650955422097288,
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),gene_program_regression,1894,405,406,MAE,0.6515937897204249,
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),gene_program_regression,1894,405,406,MAE,0.7936497431156444,
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),gene_program_regression,1894,405,406,MAE,0.8727529222737814,
Adherens junctions interactions (Reactome R-HSA-418990),gene_program_regression,1894,405,406,MAE,0.6683253561388012,
Tight junction interactions (Reactome R-HSA-420029),gene_program_regression,1894,405,406,MAE,0.702396279755106,
Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),gene_program_regression,1894,405,406,MAE,0.6915401249342127,
Degradation of the extracellular matrix (Reactome R-HSA-1474228),gene_program_regression,1894,405,406,MAE,0.6900341789111679,
Integrin cell surface interactions (Reactome R-HSA-216083),gene_program_regression,1894,405,406,MAE,0.7868654000814315,
