,组织学类型标签（histological_type_label）,是否导管成分（ductal_binary）,是否小叶成分（lobular_binary）,DCIS导管原位癌（dcis_binary）,LCIS小叶原位癌（lcis_binary）,组织学分级标签（histologic_grade_label）,淋巴血管侵犯标签（lymphovascular_invasion_label）,坏死二值（necrosis_binary）,粉刺样坏死二值（comedonecrosis_binary）,微钙化二值（microcalcification_binary）,Nottingham总分（nottingham_total_score）,有丝分裂评分（mitotic_score）,ER状态标签（ER_status_label）,PR状态标签（PR_status_label）,HER2状态标签（HER2_status_label）,AJCC病理分期（ajcc_pathologic_stage）,OS结局（OS）
ESR-mediated signaling (Reactome R-HSA-8939211),0.05796373,0.5801407,0.049239684,0.080568165,0.47770756,0.08320613,0.05960317,0.6070136,0.057094477,0.04828101,0.6548404,0.07525201,0.5858395,0.64773077,0.08086446,0.6219975,0.062465493
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),0.04966619,0.5475891,0.038240895,0.07263337,0.06543476,0.07974381,0.06373027,0.5887199,0.060869947,0.049321037,0.66517377,0.072824,0.08598606,0.6215925,0.54599315,0.59523886,0.06671605
Signaling by ERBB2 (Reactome R-HSA-1227986),0.017845165,0.0638647,0.018995188,0.07106171,0.47515535,0.066043,0.05659706,0.072530374,0.058052666,0.067129016,0.6082953,0.06652989,0.079005495,0.59279764,0.06520012,0.076617055,0.06767282
Signaling by EGFR (Reactome R-HSA-177929),0.027900172,0.06197326,0.013923159,0.071555205,0.057058875,0.02640424,0.058345754,0.07520721,0.0738168,0.07296822,0.04560182,0.056521814,0.04757416,0.054636296,0.043410793,0.07168828,0.6471392
PIP3 activates AKT signaling (Reactome R-HSA-1257604),0.05687437,0.06464309,0.06467206,0.058613364,0.06817896,0.07814425,0.06997042,0.07650511,0.064652964,0.05698851,0.62308216,0.07154477,0.07713219,0.51474273,0.07722745,0.07422617,0.075160354
G2/M Transition (Reactome R-HSA-69275),0.6783596,0.58370656,0.66851336,0.58517,0.6508839,0.61681616,0.08119183,0.072688036,0.05604629,0.0779464,0.061672773,0.5479994,0.074177936,0.07739714,0.07348028,0.536241,0.0381201
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),0.6764046,0.58391154,0.6630676,0.5875738,0.65425324,0.61767983,0.08022701,0.07373678,0.057181995,0.079102986,0.06189659,0.5507493,0.07422579,0.0771272,0.07319084,0.53469735,0.03957285
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),0.019253979,0.054697093,0.00795831,0.07163916,0.06976132,0.029792568,0.062910296,0.060777936,0.0738294,0.07656087,0.0685257,0.05579526,0.036026247,0.0581997,0.055793013,0.06872162,0.6600878
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),0.67728716,0.58841896,0.56817603,0.5353258,0.541019,0.06960079,0.078358985,0.54343814,0.045979243,0.059626196,0.06041005,0.07038974,0.061415788,0.058505256,0.058632314,0.576983,0.048366304
Adherens junctions interactions (Reactome R-HSA-418990),0.6431961,0.6094887,0.0839572,0.59829295,0.55741805,0.04897364,0.068529256,0.5808308,0.073066354,0.6307759,0.050550472,0.06815511,0.06427663,0.061009046,0.052879494,0.61446786,0.07314506
Tight junction interactions (Reactome R-HSA-420029),0.06218538,0.0768055,0.050334323,0.5594864,0.064202,0.03720429,0.06057864,0.53264666,0.078465186,0.5667446,0.045837987,0.06024632,0.057831276,0.05492111,0.04321485,0.077652745,0.08934844
Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),0.058218066,0.06718756,0.063466206,0.059098177,0.066370726,0.07514038,0.06796562,0.0768863,0.07667054,0.06984575,0.6095147,0.078047544,0.077678226,0.5593872,0.080286354,0.079421476,0.08373484
Degradation of the extracellular matrix (Reactome R-HSA-1474228),0.5916723,0.07202399,0.64158165,0.055412803,0.053815983,0.041550063,0.58925676,0.05490398,0.755487,0.60450345,0.06940566,0.65977967,0.06941784,0.057196382,0.07810971,0.05936863,0.07858177
Integrin cell surface interactions (Reactome R-HSA-216083),0.06882295,0.07405389,0.064749934,0.06135697,0.061218347,0.017871238,0.068141006,0.54254365,0.7503413,0.556072,0.06866502,0.07957316,0.072415866,0.06432856,0.5480548,0.07040609,0.6861106
Collagen formation (Reactome R-HSA-1474290),0.67602134,0.07757406,0.6714042,0.5448913,0.06357134,0.03350573,0.57087064,0.072824575,0.7560008,0.6216912,0.053079378,0.6384711,0.06737979,0.057131603,0.07755042,0.06893425,0.059273373
TCR signaling (Reactome R-HSA-202403),0.05550908,0.06312226,0.07988104,0.06787698,0.06463916,0.67157125,0.5817629,0.0561998,0.079389066,0.079302534,0.0771675,0.5578825,0.610813,0.051222876,0.6334209,0.05718158,0.08236606
Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),0.05638017,0.061520137,0.07988876,0.06670863,0.06627401,0.6115159,0.5646564,0.059374172,0.07517603,0.55719584,0.06550117,0.07920621,0.6131121,0.0512424,0.6156695,0.05736984,0.62290496
Interferon gamma signaling (Reactome R-HSA-877300),0.068634756,0.062189862,0.6042999,0.06077526,0.06636496,0.66857815,0.6142068,0.05688108,0.61293197,0.080053374,0.07615022,0.5848577,0.6166582,0.062140252,0.61469877,0.04735117,0.077052884
Co-inhibition by PD-1 (Reactome R-HSA-389948),0.055277675,0.06390955,0.07991591,0.07185566,0.064814925,0.67482746,0.59698284,0.06272957,0.07231246,0.0794794,0.07619492,0.078179084,0.5886957,0.049653884,0.6058029,0.055925142,0.08014532
Cellular response to hypoxia (Reactome R-HSA-1234174),0.046120606,0.056536548,0.024005653,0.077371866,0.055695746,0.046107292,0.057582207,0.073640145,0.514712,0.07086895,0.03538581,0.055888146,0.05854882,0.060184825,0.05686793,0.055268172,0.6199516
RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),0.03898474,0.056815855,0.021284852,0.06505897,0.057280693,0.050270952,0.07356751,0.054537162,0.59083956,0.0843086,0.07054026,0.054888263,0.04059338,0.039440516,0.049606543,0.056321744,0.70285875
Signaling by BMP (Reactome R-HSA-201451),0.03773481,0.06897299,0.04447457,0.06696643,0.06566182,0.07148953,0.060313553,0.07748444,0.06894481,0.06520041,0.656461,0.06925097,0.5825066,0.6122906,0.072535515,0.07894214,0.07352362
