task_name,task_type,num_train,num_val,num_test,metric_name,metric_value,missing_rate
组织学类型标签（histological_type_label）,multiclass,1894,405,406,ACC,0.8666666666666667,
是否导管成分（ductal_binary）,binary,1894,405,406,AUC,0.8356674804060131,
是否小叶成分（lobular_binary）,binary,1894,405,406,AUC,0.7779586825388352,
DCIS导管原位癌（dcis_binary）,binary,1894,405,406,AUC,0.6830525030525031,
LCIS小叶原位癌（lcis_binary）,binary,1894,405,406,AUC,0.8024546224019561,
组织学分级标签（histologic_grade_label）,multiclass,1894,405,406,ACC,0.6816720257234726,
淋巴血管侵犯标签（lymphovascular_invasion_label）,multiclass,1894,405,406,ACC,0.639344262295082,
坏死二值（necrosis_binary）,binary,1894,405,406,AUC,0.6221677419354839,
粉刺样坏死二值（comedonecrosis_binary）,binary,1894,405,406,AUC,0.6342626559060895,
微钙化二值（microcalcification_binary）,binary,1894,405,406,AUC,0.6336827013397933,
Nottingham总分（nottingham_total_score）,multiclass,1894,405,406,ACC,0.6385542168674698,
有丝分裂评分（mitotic_score）,multiclass,1894,405,406,ACC,0.5802469135802469,
ER状态标签（ER_status_label）,multiclass,1894,405,406,ACC,0.8769230769230769,
PR状态标签（PR_status_label）,multiclass,1894,405,406,ACC,0.7774647887323943,
HER2状态标签（HER2_status_label）,multiclass,1894,405,406,ACC,0.6202090592334495,
AJCC病理分期（ajcc_pathologic_stage）,multiclass,1894,405,406,ACC,0.327455919395466,
OS结局（OS）::0-1y,discrete_survival,1894,405,406,AUC,0.717391304347826,
OS结局（OS）::1-3y,discrete_survival,1894,405,406,AUC,0.6060606060606061,
OS结局（OS）::3-5y,discrete_survival,1894,405,406,AUC,0.5328947368421053,
OS结局（OS）::5-10y,discrete_survival,1894,405,406,AUC,0.4444444444444444,
OS结局（OS）::mean,discrete_survival,1894,405,406,AUC,0.5751977729237454,
OS结局（OS）::c_index,discrete_survival,1894,405,406,C-index,0.7190938511326861,
ESR-mediated signaling (Reactome R-HSA-8939211),gene_program_regression,1894,405,406,MAE,0.5421625298919317,
Nuclear Receptor transcription pathway (Reactome R-HSA-383280),gene_program_regression,1894,405,406,MAE,0.5807638680654359,
Signaling by ERBB2 (Reactome R-HSA-1227986),gene_program_regression,1894,405,406,MAE,0.6970174390440347,
Signaling by EGFR (Reactome R-HSA-177929),gene_program_regression,1894,405,406,MAE,0.7381825216263993,
PIP3 activates AKT signaling (Reactome R-HSA-1257604),gene_program_regression,1894,405,406,MAE,0.6436733638752757,
G2/M Transition (Reactome R-HSA-69275),gene_program_regression,1894,405,406,MAE,0.6377249534592538,
Mitotic Spindle Checkpoint (Reactome R-HSA-69618),gene_program_regression,1894,405,406,MAE,0.6221355488868775,
p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),gene_program_regression,1894,405,406,MAE,0.805599211482906,
DNA Double-Strand Break Repair (Reactome R-HSA-5693532),gene_program_regression,1894,405,406,MAE,0.8493002815442274,
Adherens junctions interactions (Reactome R-HSA-418990),gene_program_regression,1894,405,406,MAE,0.6708444687066438,
Tight junction interactions (Reactome R-HSA-420029),gene_program_regression,1894,405,406,MAE,0.7026434844382751,
Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),gene_program_regression,1894,405,406,MAE,0.6332983423944241,
Degradation of the extracellular matrix (Reactome R-HSA-1474228),gene_program_regression,1894,405,406,MAE,0.6751723693936695,
Integrin cell surface interactions (Reactome R-HSA-216083),gene_program_regression,1894,405,406,MAE,0.7344752809055793,
Collagen formation (Reactome R-HSA-1474290),gene_program_regression,1894,405,406,MAE,0.668075686895553,
TCR signaling (Reactome R-HSA-202403),gene_program_regression,1894,405,406,MAE,0.6020897932442618,
Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),gene_program_regression,1894,405,406,MAE,0.6502768742501229,
Interferon gamma signaling (Reactome R-HSA-877300),gene_program_regression,1894,405,406,MAE,0.5887983359350466,
Co-inhibition by PD-1 (Reactome R-HSA-389948),gene_program_regression,1894,405,406,MAE,0.6099307876172257,
Cellular response to hypoxia (Reactome R-HSA-1234174),gene_program_regression,1894,405,406,MAE,0.7655232741233008,
RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),gene_program_regression,1894,405,406,MAE,0.8146404297033578,
Signaling by BMP (Reactome R-HSA-201451),gene_program_regression,1894,405,406,MAE,0.7062359130262961,
ESR1,gene_expression_regression,1894,405,406,Pearson,0.6396660063575949,
ESR2,gene_expression_regression,1894,405,406,Pearson,0.47690397421544,
HSP90AA1,gene_expression_regression,1894,405,406,Pearson,0.34056864161877,
HSP90AB1,gene_expression_regression,1894,405,406,Pearson,0.428081459897753,
HSP90B1,gene_expression_regression,1894,405,406,Pearson,0.3453526106905033,
NCOA1,gene_expression_regression,1894,405,406,Pearson,0.21743131981003327,
NCOA2,gene_expression_regression,1894,405,406,Pearson,0.24908363975589892,
NCOA3,gene_expression_regression,1894,405,406,Pearson,0.4099416368014688,
NCOR1,gene_expression_regression,1894,405,406,Pearson,0.30367964811064074,
NCOR2,gene_expression_regression,1894,405,406,Pearson,0.18614707298436498,
MED1,gene_expression_regression,1894,405,406,Pearson,0.21546616425159637,
EP300,gene_expression_regression,1894,405,406,Pearson,0.2530544199478124,
CREBBP,gene_expression_regression,1894,405,406,Pearson,0.3557340812355017,
MAPK1,gene_expression_regression,1894,405,406,Pearson,0.23320246001395836,
MAPK3,gene_expression_regression,1894,405,406,Pearson,0.3506092753561143,
FOXA1,gene_expression_regression,1894,405,406,Pearson,0.716612593117451,
GATA3,gene_expression_regression,1894,405,406,Pearson,0.6722953139847375,
PGR,gene_expression_regression,1894,405,406,Pearson,0.5930794507815963,
HDAC3,gene_expression_regression,1894,405,406,Pearson,0.19044103818941,
RXRA,gene_expression_regression,1894,405,406,Pearson,0.38039885483080976,
ERBB2,gene_expression_regression,1894,405,406,Pearson,0.29887204974533416,
ERBB3,gene_expression_regression,1894,405,406,Pearson,0.46993730522970806,
ERBB4,gene_expression_regression,1894,405,406,Pearson,0.6453507782354511,
EGFR,gene_expression_regression,1894,405,406,Pearson,0.56398131506876,
