epoch,stage,relation_round,relation_scale,relation_active_edges,relation_selected_prior_edges,relation_selected_new_edges,relation_eligible_new_edges,relation_attenuated_prior_edges,relation_mean_abs_change,train_loss,val_loss,lambda_gene,lambda_program,lambda_phenotype,molecular_weight,morphology_weight,clinical_weight,val_binary_auc,val_multiclass_acc,val_os_mean_auc,val_c_index,val_gene_pearson,val_program_mae,val_phenotype_score,gene_retention_floor,gene_protected
1,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.4099428951740265,1.4071493758095635,1.0,0.0,0.0,0.0,0.0,0.0,0.4925167527449517,0.362672628108241,0.6053133595682223,0.5016181229773463,0.24509568274677146,0.7915527433912033,0.4304108401033561,,1
2,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.37982577085494995,1.4082471191147228,1.0,0.0,0.0,0.0,0.0,0.0,0.4970744456040408,0.3892408467634343,0.585534261378083,0.4796116504854369,0.3185942727827192,0.7873996226308427,0.44518958832219274,,1
3,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.36810511350631714,1.4141311783849457,1.0,0.0,0.0,0.0,0.0,0.0,0.49002958631618626,0.3972326784307455,0.5710570377689943,0.4912621359223301,0.3432038743194193,0.7869788648932361,0.4456681322270005,,1
4,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.35999006032943726,1.416626035136941,1.0,0.0,0.0,0.0,0.0,0.0,0.4917454630668211,0.39046117693157206,0.5964565564107898,0.4640776699029126,0.3600176825097124,0.7942711681853346,0.4442838464860403,,1
5,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.35369229316711426,1.4208186779493166,1.0,0.0,0.0,0.0,0.0,0.0,0.4801260801298464,0.40466772799659084,0.5903767364722743,0.4912621359223301,0.36660273474597194,0.7916157800088716,0.44666287349120687,,1
6,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3505302369594574,1.417209862485344,1.0,0.0,0.0,0.0,0.0,0.0,0.47805501935342404,0.40210316252464795,0.5779599484547997,0.49449838187702266,0.36961359930905363,0.7898561012730085,0.4437219733323882,,1
7,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3462846875190735,1.4270651505317218,1.0,0.0,0.0,0.0,0.0,0.0,0.4961931266750687,0.3706109107892758,0.5708407010609527,0.4970873786407767,0.3712854149993683,0.7885095795379364,0.43409945793470095,,1
8,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.34443676471710205,1.4208814567989774,1.0,0.0,0.0,0.0,0.0,0.0,0.4869857748349326,0.3787734747123755,0.5648854823983542,0.516504854368932,0.37966020438717957,0.7920454941233845,0.4342792458031919,,1
9,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3411077857017517,1.4311019270508378,1.0,0.0,0.0,0.0,0.0,0.0,0.4890148313929278,0.35854175238285435,0.577133968402561,0.5411003236245955,0.37322661452858374,0.793921875990402,0.42512432703522024,,1
10,gene_pretrain,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.33897140622138977,1.4236215297086738,1.0,0.0,0.0,0.0,0.0,0.0,0.4920072151977499,0.37069166485644406,0.5681872356285972,0.5197411003236246,0.3850408334391755,0.7893711825494715,0.4322625132776967,,1
11,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.33583587408065796,1.3967578425819491,0.5,0.4,0.0,0.0,0.0,0.0,0.5091376300978775,0.4015327031551409,0.5081221973741996,0.5171521035598705,0.38459907484685224,0.7027605582483445,0.4521105844973889,0.3769070933499152,1
12,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.31981009244918823,1.3970550233935133,0.5,0.4,0.0,0.0,0.0,0.0,0.5068945688496054,0.39748494758999775,0.509572628458498,0.5061488673139158,0.3892558866654391,0.698845147698144,0.4491293611009245,0.3814707689321303,1
13,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.314428448677063,1.3847304476632012,0.5,0.4,0.0,0.0,0.0,0.0,0.526004631408825,0.411053474738014,0.5404462964889166,0.5203883495145631,0.3835788637738347,0.6973646107234409,0.4659976464113422,0.3814707689321303,1
14,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3126823306083679,1.3823925253785687,0.5,0.4,0.0,0.0,0.0,0.0,0.51028422174385,0.4252402064229833,0.5525051718558583,0.5203883495145631,0.3827159793770863,0.6944776822564998,0.4677445048158622,0.3814707689321303,1
15,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3097677230834961,1.3786185114472,0.5,0.4,0.0,0.0,0.0,0.0,0.5056215487845314,0.41338193542676765,0.49787563853639366,0.5249190938511327,0.3908846829977748,0.6860885469451066,0.45633317052170724,0.3830669893378193,1
16,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.30681461095809937,1.3761871885370325,0.5,0.4,0.0,0.0,0.0,0.0,0.5144690960183039,0.43694238620213127,0.48819899509973885,0.5313915857605178,0.388639553166603,0.6836150528981317,0.4718802437086498,0.3830669893378193,1
17,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.305772602558136,1.3697408378860096,0.5,0.4,0.0,0.0,0.0,0.0,0.5170365612228618,0.42818794724084824,0.4883210682338257,0.5501618122977346,0.3903051785327934,0.6798298940605141,0.4683099130565584,0.3830669893378193,1
18,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3034188449382782,1.3723040671996127,0.5,0.4,0.0,0.0,0.0,0.0,0.5179160731293158,0.44693052540147044,0.5121329138062547,0.5618122977346278,0.3933043762084682,0.6824775010657415,0.4799953031955706,0.3854382886842988,1
19,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3026273846626282,1.3684421477494417,0.5,0.4,0.0,0.0,0.0,0.0,0.510158966480011,0.4336511287926357,0.46454317199454503,0.565695792880259,0.3904385905313529,0.6799772088601063,0.4669715350875495,0.3854382886842988,1
20,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3014639616012573,1.3632643346433286,0.5,0.4,0.0,0.0,0.0,0.0,0.4999966309060878,0.42084623602544524,0.5016841036220326,0.5488673139158576,0.3943810264039515,0.6838110351325516,0.4581927437760974,0.38649340587587244,1
21,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.3002355396747589,1.3653337531619603,0.5,0.4,0.0,0.0,0.0,0.0,0.5154598266475746,0.41743461136439003,0.4907769774403069,0.5533980582524272,0.3961293615512154,0.6775475491666524,0.46211219213252,0.38820677432019113,1
22,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.29850390553474426,1.3606914312751204,0.5,0.4,0.0,0.0,0.0,0.0,0.5215873105505925,0.4271809168449992,0.5073818129810693,0.56957928802589,0.3970006458957065,0.6897063935560322,0.4707718375553065,0.38820677432019113,1
23,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.2969924211502075,1.351804667932016,0.5,0.4,0.0,0.0,0.0,0.0,0.4974066207027837,0.4494947477507757,0.5032616641240784,0.566990291262136,0.39532519415003337,0.6784503271568468,0.4723859258117968,0.38820677432019113,1
24,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.29541799426078796,1.3587787876894444,0.5,0.4,0.0,0.0,0.0,0.0,0.511189102246269,0.4219446090787884,0.5164647042507454,0.565695792880259,0.39519432252629,0.6852213933104497,0.4642523471578662,0.38820677432019113,1
25,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.2949150800704956,1.3450135671062233,0.5,0.4,0.0,0.0,0.0,0.0,0.5272240443192266,0.458929079038287,0.5149806849964172,0.5501618122977346,0.3956318239955371,0.688828566812873,0.49034768862209327,0.38820677432019113,1
26,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.292763888835907,1.3476085552462824,0.5,0.4,0.0,0.0,0.0,0.0,0.5107430298822868,0.42227209186566933,0.5122950760465061,0.5792880258899676,0.39404770836790753,0.6797390006138581,0.4639967712949139,0.38820677432019113,1
27,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.2918265759944916,1.3425996238802687,0.5,0.4,0.0,0.0,0.0,0.0,0.5160870568973605,0.4244600982963485,0.5037719876106604,0.5579288025889968,0.3988610071865006,0.6818715096364195,0.46685425120937174,0.39088378704277055,1
28,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.29043105244636536,1.344595694983447,0.5,0.4,0.0,0.0,0.0,0.0,0.5083963920206437,0.42437465039919126,0.4818378290918337,0.570873786407767,0.4008267054215766,0.6790256708413681,0.4623520251075919,0.39281017131314505,1
29,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.29060620069503784,1.3423477053642272,0.5,0.4,0.0,0.0,0.0,0.0,0.5049316781031811,0.41735249289490794,0.4679630255645702,0.5689320388349515,0.3961700447919407,0.6778326612518702,0.45639160049064764,0.39281017131314505,1
30,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.2878543436527252,1.3443538002025934,0.5,0.4,0.0,0.0,0.0,0.0,0.5054484505350068,0.4097811889009032,0.5182423491204956,0.5728155339805825,0.4006460304474308,0.6814256794608666,0.45555365899845124,0.39281017131314505,1
31,gene_program,0,0.0,374,0,0,0,0,2.9802322387695312e-08,0.2871778607368469,1.3468767860789357,0.5,0.4,0.0,0.0,0.0,0.0,0.5022223819791486,0.4170363931493409,0.4750443508309642,0.5598705501618123,0.39296124431958196,0.6879447643305269,0.4555252095899454,0.39281017131314505,1
